Job,Business Area,Area of Expertise,Looking,Skills
Senior Controls Business Partner GTSM,COO & Functions,Operations,"Proven ability to influence at senior management level
Ability to apply judgement and balance risk versus business interest whilst ensuring compliance to all relevant policies and standards
Broad knowledgeable on aspects of Enterprise Risk Management Framework (ERMF), Operational Risk Framework (ORF) and Barclays Control Framework (BCF) &nbsp
Proven experience of working in or within a Control type role/ team","Effective written and verbal communication skills with the ability to present credibly to senior stakeholders
Broad experience dealing with multiple stakeholders in different business functions who have different objectives e.g. Barclays Internal Audit, Risk, Compliance, Fraud, Legal
Proven ability to provide thought leadership through bringing together insight and analysis including external knowledge
Broad knowledge of operational risk and control processes and practices, including experience in their application across functions"
iOS Developer,COO & Functions,Technology,"Expertise in Swift and iOS Development&nbsp
Familiarity with mobile software development best practices, particularly in automation testing, UI and Unit testing&nbsp
Proficiency in iOS UI/ UX design principles, patterns, and best practices
Knowledge of secure application development practices","Knowledge of iOS CI:CD and related tools&nbsp
Experience in Agile methodologies
s Degree in relevant software engineering discipline&nbsp"
Business Analyst,COO & Functions,Technology,"Experience as a Business Analyst working on medium to large scale change initiatives
Skilled in reading/writing basic SQL for querying, analysis and adept at using Microsoft Office products, e.g. Excel, Visio, JIRA scrum boards, Confluence
Knowledge in project management supporting medium to large scale deliverables
Ability to support the end-to-end testing cycle within a change initiatively","Broad knowledge of Financial industry products and offerings with an experience with Risk, Finance and Treasury functions would be advantageous
Highly numerate and analytical with strong problem solving skills, with excellent written and verbal communication skills
Good understanding of project delivery methodologies including the software development lifecycle and the role of the business analysts in these context"
Senior Reporting Developer AVP,COO & Functions,Technology,"s degree or higher
Expertise in Data warehouse design and modelling
STAR Schema Model knowledge and experience in Data warehouse methodologies (Kimball)
Strong SQL and shell scripting skills","Informatica/ETL experience in design and development&nbsp
Python scripting
Excellent verbal and written communication skills"
Margin Analytics C# Senior Developer,COO & Functions,Technology,"s in computer science is required
Experience in software development
Significant years development using C#/.Net technologies
Knowledge in financial domain","Knowledge of Big Data Technologies, Cloudera, MongoDB
Thorough understanding of a structured development lifecycle, realizing the importance of different levels of testing
Ability to work independently and coordinate work with other teams"
Technical Business Analyst AVP - FX,COO & Functions,Technology,"Knowledge in numeracy and analytic problem solving skills
Communication and organizational skills
Understanding of Microsoft technologies (e.g. Excel) and other tools used for analyzing complex numerical datasets, with a working knowledge of SQL","Experience in financial services is preferred but not essential
Knowledge of fixed Income and foreign exchange products
Understanding of Market Risk is preferred but not essential"
Margin Analytics  .Net Developer,COO & Functions,Technology,"s in computer science is required
Experience in software development
Significant years development using C#/.Net technologies
Knowledge in financial domain","Knowledge of Big Data Technologies, Cloudera, MongoDB
Thorough understanding of a structured development lifecycle, realizing the importance of different levels of testing
Ability to work independently and coordinate work with other teams"
Application Developer VP - Credit Analytics,COO & Functions,Technology,"s degree in Computer Science, Mathematics, Engineering or related discipline
Extensive development experience with one or more programming languages, specifically C++, Python, Java, or C#
Demonstrable experience developing fixed income/derivative pricing, risk and PnL explain engines and services&nbsp
Experience with database technologies","Good understanding of fixed income/derivative products, market conventions, quoting and risk preferably credit products
Experience in analyzing and explaining risk and PnL queries from trading desk, market risk and finance business users
Nexus, Nolio, AppD, ELK)
A self-starter with excellent problem solving skills and the ability to work in a fast paced environment"
Project Manager AVP 每 Front Office Technology,COO & Functions,Technology,"Minimum Bachelor Degree in Finance, Economics, or STEM field&nbsp
Hands-on experience in financial services and/or consulting firm, in a project management or business analyst capacity&nbsp
focus on Credit and/or Securitized Products a plus.&nbsp
Ability to generate consensus among senior stakeholders across multiple business units/orgs and manage multiple stakeholders in different clusters, geographies and functions","Understanding of trading system workflows and technology architecture
Direct experience working with markets businesses and senior desk heads to deliver change
Proven track record of delivering large scale multi-year projects"
Java Developer - Equities Data Warehouse,COO & Functions,Technology,"s Degree&nbsp
Hands-on experience in JAVA/J2EE software development
Know-how of Micro Services framework
Strong Analytical skills, Unix, Shell Scripting and Autosys knowhow","Concrete Experience in core java and GUI Technologies- java script, Angular preferred&nbsp
Rest API Development for micro services architecture
Application development using middleware technologies (MQ, Solace or Tibco)
Hands on with Maven, GIT, TeamCity, Nexus, Sonar Cube, IntelliJ Idea and AWS cloud platform apps&nbsp"
Project Manager,COO & Functions,Technology,"Extensive experience in managing projects with medium to high complexity, business critical and large cross-functional team spanning multiple regions and functions
Proven delivery project /program lead, comfortable in both the technical details and overseeing delivery across a wide range of teams
A knowledge of both agile and traditional project delivery methods
Excellent written and verbal communication skills including presentation to Senior level stakeholders","Presentation and communication skills, managing senior (MD Level) stakeholders
Professional recognized Project/Programme management qualification or previous relevant experience
A solid advocate and practitioner of Diversity and Inclusivity
Good Financial industry knowledge, experience of working with Risk, Finance and Treasury functions"
Front Office Technology Developer,COO & Functions,Technology,"Strong knowledge of C# and .NET 4.5+ framework, experience with relational database, preferably MS SQL Server/T-SQL
understanding common design patterns, software engineering fundamentals
Experience with analysing business requirements and proposing robust solutions and ability to work with various stakeholders to understand their requirements
Strong spoken and written English, as this role requires regular communication with the business users across our main trading locations","Experience with source control systems (e.g. Git), CI tools (e.g. TeamCity), Issue-tracking systems (e.g. JIRA), Agile methodologies (e.g. Scrum)
Experience with one or more of the following: WPF, WCF, React, Angular, Python, PowerShell, Solace, WebsphereMQ, RabbitMQ, Cloud (AWS, Azure), MongoDB, QlikSense
Excellent communication skills - including the ability to convey information to non-technical colleagues in a concise and clear way
Strong stakeholder management, able to communicate at all levels and build sustainable relationships"
RFT C++ Software Developer,COO & Functions,Technology,"Excellent skills in writing C++ code (running on both Windows and Linux would be preferred)
Sound knowledge of STL library and experience with Boost library
Good understanding of OOP design patterns
Excellent communication skills (English, verbal and written)</span>","Knowledge of Agile methodologies (Scrum, Kanban)&nbsp
Experience with development and agile tools, e.g. JIRA, Git, Autosys and Agile Central
Knowledge of multithreading and IPC
A degree in a technical, science, engineering, or mathematical discipline"
Senior C#/Python Developer,COO & Functions,Technology,"Hands on C#/.NET/Python developer experience
Familiar with SQL/BigData technologies&nbsp
Web Services
Commitment to continuous refactoring and knowledge of common refactoring techniques","Experience building enterprise software within an investment bank (front office environment)
Experience working as a part of an agile development team
Experience working with git/Teamcity
Familiar with middleware technologies (Solace, MQ etc)"
Senior .Net Developer,COO & Functions,Technology,"Ability to work with the business analysts, peers, product owner and project managers to understand their requirements
Experience with analysing business requirements, converting them to functional, proposing robust solutions and taking care of their delivery
Excellent knowledge of C# and .NET 4.8+ framework
Solid experience with unit testing/ test driven development/ continuous integration&nbsp","Experience using Cloud (AWS, Azure)
Experience with Pub/ Sub messaging systems (Solace, WebsphereMQ, RabbitMQ etc.)
Experience with MongoDB, Hadoop
Previous experience in investment banking, or in the financial industry, or knowledge of finance, investment banking, and/ or trading"
Project Manager,COO & Functions,Technology,"Experience with managing projects of medium - large complexity, business critical and cross-functional teams spanning multiple regions and functions
Excellent communication and organisational skills with an emphasis on stakeholder management
Excellent client liaison and problem-solving skills
Risk and Issue management techniques and experience","Knowledge of banking applications and infrastructure
Excellent analytical and documentation skills
Managing across geographically dispersed teams
Excellent Finance Business knowledge"
Project Manager,COO & Functions,Technology,"Experience with managing projects of medium - large complexity, business critical and cross-functional teams spanning multiple regions and functions
Excellent communication and organisational skills with an emphasis on stakeholder management
Solid client liaison and problem-solving skills
Risk and issue management techniques and experience","Ability to manage external dependencies and drive continuous improvements for internal processes
Experience to work as PM in investment bank or financial services is preferred, but not essential
Experience to work as PM to manage globally distributed teams is preferred, but not essential
Solid finance business knowledge/ BA expertise"
C# Developer AVP,COO & Functions,Technology,"Four-year college degree
4+ years of experience in working in financial service
3+ years of direct C# experience
Trading system knowledge","Knowledge in C#, C++, and window development&nbsp
Advanced degree (MS or higher)
Strong communications skills&nbsp
Fixed Income or Equity Product knowledge"
Senior Systems Analyst,COO & Functions,Technology,"s degree or foreign equivalent in Mathematics, Financial Engineering, Computer Science, or related field&nbsp
Be technically proficient - knowledge of data structures, algorithms and general problem solving is required.
4+ years of experience with C++, C#, Python and Excel/VBA software programming languages.
Knowledge of Financial Markets fundamentals.","written English communication skills&nbsp
Knowledge of Equity derivatives.
Knowledge of Exotic Equity Derivatives.
Knowledge of functional programming (e.g. Haskell, F#)."
Application Developer,COO & Functions,Technology,"s degree or foreign equivalent in Mathematics, Financial Engineering, Computer Science, or related field&nbsp
Be technically proficient - knowledge of data structures, algorithms and general problem solving is required
Four years of experience with C++, C#, Python and Excel/VBA software programming languages
Knowledge of Financial Markets fundamentals","written English communication skills&nbsp
Knowledge of Equity derivatives
Knowledge of Exotic Equity Derivatives
Knowledge of functional programming (e.g. Haskell, F#)"
Senior Developer,COO & Functions,Technology,"Degree in a numerate discipline or Computer Science with real-world knowledge of data structures, algorithms as well as strong general problem-solving skills
Python 3 and common libraries, particularly pandas, NumPy and flask
SQL Server (or Oracle, SQLite, etc.)
Proficient background in OO platform (java/dot NET)</span>","Experience of working with market data and a background in derivatives and a familiarity with Linux/RedHat
Familiarity with automation technologies, for example, TeamCity, Autosys, Jenkins, CI, etc
Competence in scripting technologies, for example, Bash, JavaScript, VB, PowerShell, bat files, etc
A good knowledge of software development methods, tools and standards to ensure delivered code complies with said practices"
Senior Business Analyst VP 每 FX Risk,COO & Functions,Technology,"Solid decision making and problem solving skills, with a solid emphasis on numeracy and excellent IT skills
Solid experience driving decisions within the BA function and SDLC
Solid team leaderships skills with experience managing teams across diverse global settings
Solid communication and organizational skills with an emphasis on stakeholder management","Experience in investment banking, especially in markets, is preferred
Solid experience working with financial market risk data
Solid knowledge of Fixed Income and Foreign Exchange trading and products
Knowledge of Fixed Income and Foreign Exchange trading and products&nbsp"
Project Manager SIP,COO & Functions,Technology,"Proficiency in at least one programming language
Knowledge of Agile methodology, practices, and tooling
Experience in large and complex distributed systems","Proficiency with Java 11 or above, with knowledge of multi-threading
Proven ability to pick up and learn new technologies
Experience in SRE practices and in implementing automation and observability solutions
Knowledge of data analysis"
EDW Project Manager,COO & Functions,Technology,"Knowledge of Equity Derivatives, asset classes and associated trade, reference and instrument attributes
Project Management - Practitioner level accreditation (e.g. Prince 2, PMI, APM, Agile), and excellent knowledge of Data Standards and Management of Data
Experience with managing projects of medium complexity, business critical and cross-functional teams spanning multiple regions and functions
Excellent written and verbal communication skills, including presentation to senior level stakeholders, and ability to build good knowledge of specialist areas that projects operate in","Experience in managing Data and Analytics driven projects, good Financial Industry knowledge, and experience of working with Risk, Finance and Treasury functions
Knowledge of Data Platforms, Cloud Solutions and Monitoring and Alerting
Knowledge of banking applications and infrastructure&nbsp
Solid team player who will contribute outside of their remit and ability to work in a virtual team"
Business Analyst,COO & Functions,Technology,"Degree level qualification
High level of proficiency with Microsoft tools, especially Excel
Background working in Finance, or other area with a significant focus on numerical data","Experience in investment banking, especially in markets
Experience working with financial market risk data
Knowledge of Fixed Income and Foreign Exchange trading and products
Understanding of the uses of databases and other tools for numerical analysis, with a working knowledge of SQL"
Front Office Pricing Developer,COO & Functions,Technology,"Degree level qualification
Strong object-oriented programming skills in C++, including knowledge of multi-threading, performance analysis and tuning techniques and unit testing practices
Familiarity of industry standard tools for software development, i.e. source control, testing frameworks, build and test pipelines etc.
Good communication skills to be able to work in a global environment with colleagues and business stakeholders, taking end to end ownership of the business deliverables","Scripting skills (i.e., python/powershell)
Experience with developing on large codebases
Knowledge of database and/or messaging technologies (SQL, Solace)
Understanding of basic investment banking/fixed income products"
Project Manager,COO & Functions,Technology,"Good Financial industry knowledge, experience of working with Risk, Finance and Treasury functions would be advantageous
Ability to build up good knowledge of specialist areas that projects operate in
Excellent written and verbal communication skills including presentation to Senior level stakeholders
Experience with managing projects of medium - large complexity, business critical and cross-functional teams spanning multiple regions and functions","Project Management - Practitioner level accreditation (e.g. Prince 2, PMI, APM)&nbsp
Experience of preparing and issuing a range of key business analysis deliverables in medium to large scale change initiatives would be beneficial
Business Analysis Accreditation(s) would be beneficial"
Senior ETL Developer,COO & Functions,Technology,"Proven expertise in Data warehouse design and modelling
Knowledge and experience in STAR Schema Model Understanding and in Data warehouse methodologies&nbsp
Exceptional knowledge in SQL/PL/SQL development
Broad analytical and Problem Solving skills","Informatica /ETL experience in design and development&nbsp
Broad knowledge of Python and have expertise at Shell Scripting
Functional knowledge of Cash Equities
Experience managing stakeholders across teams"
AVP Internal Audit Swap Dealer,COO & Functions,Internal Audit,"s degree or equivalent years of services
Previous auditing/Analyst experience or experience in relevant financial services businesses and products
Data Analytics experience
Enthusiastic team player, supporting colleagues to achieve team objectives","Relevant professional qualifications such as CPA, CFA, CISA would be beneficial
environment would be a plus"
Business Analyst/ Project Manager,COO & Functions,Technology,"Experience as a Senior Business Analyst working on medium to large scale initiatives&nbsp
Good understanding of project delivery methodologies including the software development lifecycle and the role of the business analysts in these contexts
Experience communicating with a wide array of people, with good experience of stakeholder management
Excellent written and verbal communication skills, including presentation to Senior level stakeholders","Business Analyst Accreditation would be beneficial (e.g. BCS Practitioner Certificate Business Analysis Practice)&nbsp
Project Management Accreditation would be beneficial (e.g. Prince 2, PMI, APM)&nbsp
Experience with Risk, Finance and Treasury functions or working on regulatory projects would be advantageous
Experience of writing basic SQL"
Assistant Vice President Model Development Analyst,COO & Functions,Risk and Quantitative Analytics,"Proven ability to manage multiple stakeholders and outcomes concurrently
Proactive self-starter with a flexible approach, able to adapt to changing priorities
Knowledge of how models are used within Lending Businesses, Risk, or Finance
Excellent problem-solving skills with the ability to make complex connections and identify creative solutions","Knowledge of modelling methodologies and regulations, particularly those relating to credit risk capital and impairment
Familiarity with technology architecture and/or process design
Anticipates problem areas and associated risks with objective rational
Ability to define and evaluate complex problems from multiple dimensions and propose creative solutions considering short and long-term business goals"
"AVP, Americas Management",Barclays International,Investment Banking,"Excellent analytical skills, with attention to detail and intellectual curiosity
Exceptional verbal and written communication skills appropriate for engagement with senior executive stakeholders
Exceptional leadership and interpersonal skills with the ability to influence stakeholders at various levels, and an ability to work independently on a variety of competing priorities
Solid computer skills (Microsoft Excel, PowerPoint, Word, SharePoint and Teams)","Knowledge of financial markets and investment banking activities
Exposure to Dodd-Frank enhanced prudential standards (EPS) for large foreign banking organizations (FBO), or interest in financial industry regulation
Ability to build trust and credibility with senior stakeholders (Directors and Managing Directors)
Exceptionally organized and flexible to work on varying tasks as required"
Analyst 每 Financial Control,COO & Functions,Finance,"BA/ BS Accounting / Finance&nbsp
2+ years of relevant work experience
IFRS","Public accounting audit experience
CPA
Financial product knowledge
IFRS"
Internal Audit Conduct and Financial Crime VP,COO & Functions,Internal Audit,"Extensive experience in risk-based auditing or risk/control activities. Specific Financial Crime, Conduct Risk, Legal and/or HR experience is preferred
Relevant professional qualifications (e.g. CIA, ACAMS)
Practical understanding of relevant regulatory environment
Experience with managing audits and/or driving initiatives in a relevant field","Financial services industry knowledge&nbsp
Knowledge about new and emerging financial products and services
Experience with leading others during audit assignments
Preference for candidates with Financial Crime, Conduct Risk, Legal and/or HR experience knowledge and experience"
Loan Operations 每 Vice President,COO & Functions,Operations,"s Degree / or related operations experience
Management experience within operations
Good Verbal and written communication skills
Advanced Microsoft Office suite and software knowledge","Knowledge and experience working on a syndicated loan operations team
Significant experience in LMA or LSTA market instruments
US or EMEA
Pega CRM applications"
International Securities Java Software Developer,COO & Functions,Technology,"Solid academic background in Computer Science or Engineering with three+ years of experience in a strongly-typed object-oriented programming language (Java)
Experience contributing to the applications architecture and design (architecture, design patterns, reliability and scaling) of new and current systems&nbsp
Experience building real-time distributed messaging applications with low-latency and high-throughput, and understanding front to back flows between front-end and back-end
Substantial experience with object-oriented design, data structures, algorithms, multi-threading and all phases of the Software Development Life Cycl","Experience with cloud technologies: OpenShift and AWS&nbsp
Working knowledge of integration patterns, micro-services architecture and implementation of RESTful and SOAP based services
Knowledge of stream processing frameworks, and technologies, such as Kafka Streams
Rich hands-on experience of DevOps practices, tooling and automation: Chef, Jenkins"
Bilingual Customer Service Representative - Care,COO & Functions,Operations,"s associates&nbsp
Ability to adhere to compliance regulations and policies
Ability to contribute ideas and recommendations for process improvements to the department or company
Maintains professional verbal and written communication standards, while consistently meeting performance standards set by the department","One plus year of experience in a customer service environment/ call center experience
Exceptional customer service and professional communication skills, both verbal and written
Good organization and work prioritization skills
Solid attention to detail and analytical skills"
AVP - BIA Barclays Europe,COO & Functions,Internal Audit,"Experience with risk-based auditing or risk/control activities (preferably in the following areas: Risk/Finance/Treasury, Markets and Investment Banking, Financial Crime)
Ability to think and act in a difficult environment, contributing to audit delivery
Exceptional oral and written communication skills
10% of the time)</span>","Relevant Audit, Accounting or equivalent qualification (e.g. CIA, MIIA, ACA, ACCA, CISA) If you do not have similar qualifications,&nbsp
Practical understanding / knowledge of European and Irish regulations
&nbsp
Financial Services industry knowledge</span>"
Print Voice Marketing Content Manager,Barclays International,"Marketing, Communications & Corporate Relations","experience in financial services and/or credit card marketing experience
ability to outline timelines, gauge status of in-progress campaigns, and track marketing performance
must be able to manage workload independently to hit all deadlines, and appropriately communicate any risk
Degree preferred","&nbsp
Project management - Excellent organizational skills, maintain accurate project records, complying with all control and regulatory requirements
ability to professionally communicate effectively any risks in written and spoken format
instinctive approach to understanding what makes an effective customer communication"
Rates Trading Floor Support,COO & Functions,Technology,"Three to five hears college degree
Hands on experience in shell/perl/python and Database scripting
Knowledge of KDB
Autosys, ITRS and ServiceFirst","Self-motivated and resourceful ,confident and able to work alone and be able to build a team
Able to readily adapt to changing requirements and priorities
Can multi-task effectively when required, but also able to identify scheduling conflicts and communicate these confidently
Enthusiasm to learn and absorb business processes and IT technologies"
Business Analyst,COO & Functions,Technology,"Experience of working in an Agile development environment inclusive of its methodologies (Scrum/ Kanban) and supporting toolset (i.e. Jira, Confluence)
Experience with documenting user stories and acceptance criteria
Analytically minded and able to identify innovative solutions to complex problems
Experienced with producing business process models aligned to BPMN standards</span>","Knowledge of Pega Smart Investigate Framework
Recognised Business Analyst qualifications or relevant experience&nbsp
Experience of working as a Business Analyst in a Payments Technology environment
Knowledge of payments schemes, message flows and formats</span>"
Client Regulatory Operations,COO & Functions,Operations,"CASS knowledge is beneficial
Commodities etc)
reconciliations etc)
s Degree","Proven ability to grasp business concepts quickly, proactive approach to solving issues focusing on regulatory impact /compliance
Demonstrating your ability to achieve quality results with a challenging but positive style
Excellent ability to engage with senior stakeholders (Vice President Level)
Proven ability to maintain a reputation for integrity, evoking rapid trust from key stakeholders"
IB Global Event Creation,COO & Functions,Operations,"Excellent communications both orally and via email, will the ability to analyze data and present in a coherent and understandable manner
Proven ability to work on multiple tasks simultaneously managing challenging stakeholders and deadlines
business packs for senior business stakeholders with a high-level knowledge of the trade lifecycle and functions
Significant experience of working within the Operations function of a top tier investment bank","Broad knowledge of Asset Servicing flows
Knowledge of securities markets including their rules and nuances
relationship management skills to drive change across an organization
Experience of working with a third-party vendor"
TTR Ops Governance & Control,COO & Functions,Operations,"Proven ability to communicate competently and actively across all levels/functions of the org and to document responses&nbsp
Ability to engage and influence key stakeholders across multiple functions to achieve consensus on way ahead/resolution&nbsp
Proven ability to work across regulation and owners to ensure specific regulatory responses are understood, on track and delivered
Broad experience ensuring that all activities and duties are carried out in full compliance with regulatory requirements","Proven ability to track and co-ordinate on a number of requirements to timely resolution
Excellent grasp of Global regulations, aptitude and desire to learn&nbsp
Great interpersonal skills and prior knowledge of a Governance, Risk and Control environment
Proven Senior stakeholder management experience to deliver a strengthened relationship"
Centre of Excellence Executive - Part Time,Barclays UK,Relationship Management / Sales,"Excellent interactive, communication and diplomacy skills an exhibit and entrepreneurial spirit but also have a collegiate approach
The ability to embrace a challenge and an evolving/changing environment
Display a constructive approach with the ability to relate to and accommodate a diverse range of personalities
Exerting positive influence on colleagues and contacts in order to secure positive outcomes for clients and the business","Excellent command of English language both verbal and written is essential as you will be speaking with customers on a daily basis
Having advanced digital knowledge will help you know this role and progress
Computer literacy is essential especially with Microsoft Office packages
Excellent planning and organisational skills are key as you will be managing your daily tasks and communication with customers"
Legal Counsel 每 Employment Law,COO & Functions,Legal,"Qualified employment lawyer with experience of working in a market-recognised employment practice
Ability to manage high volumes of work effectively, to prioritise appropriately and to deliver under pressure
policy and employee documentation development
Exceptional team player, with the ability to build relationships with clients, stakeholders and colleagues","Exposure to the financial services sector in the UK and abroad.
A), immigration law, health and safety,&nbsp
Experience in other areas of complimentary to the management of employment legal risk and&nbsp
Understanding and ability to implement, Barclays Purpose and Values
Demonstrates effective written and verbal communication, with a strong client-led commercial focus&nbsp"
Development Team Lead Scrum Master,COO & Functions,Technology,"Extensive experience of working in a full-stack development environment using agile methodologies, modern DevOps practices, automated CI/CD pipelines, BDD and TDD
Excellent communication skills and track record of solid people leadership
Experience with multi-channel digital deliveries across iOS, Android and Web
Experience with Java, Angular, JavaScript, SpringBoot Microservices, REST APIs&nbsp","Experience with MQ, Kafka
Public Cloud development, particularly AWS, and experience with SaaS vendors
Experience of deployment tools (particularly Chef) and monitoring tools (e.g. Splunk, AppDynamics)
Experience in the Wealth Management, Financial Planning and Digital Investing domains"
Basel Reforms Implementation Manager,COO & Functions,Risk and Quantitative Analytics,"Minimum undergraduate degree or equivalent experience
Demonstrable experience working in large financial organisation with regulatory reporting experience and working with data in a database (SQL preferable)
A track record of delivering large and complex change initiatives with developed analytical and problem solving abilities&nbsp
Excellent communication skills, including the ability to explain technical concepts to non-technical audience","Working understanding of current Credit Risk Basel III/CRD IV/CRR requirements, with particular focus on Risk Weight and Banking Book exposure calculation methods&nbsp
A working understanding of upcoming regulatory change
Experience working in a top tier investment bank in a related role
Post graduate degree, professional qualifications such as CFA, FRM or equivalent experience</span>"
Senior Project Manager,COO & Functions,Technology,"Extensive and demonstrable expertise in supporting medium to large complex business and technical programmes of strategic significance
Experience developing strategy to execution for complex programmes, with internal and external stakeholder management including senior leaders and change management
Impeccable analytical, problem-solving and communication skills, including experience presenting to senior level leadership
Proven ability to multi-task, manage multiple projects and stakeholders simultaneously, with attention to detail and quality of work in a high paced environment&nbsp","Ability to co-ordinate, manage competing priorities against stringent and demanding timelines
Ability to manage upwards and downwards, negotiate and solicit engagement at all levels and have solid experience of working with senior stakeholders (typically D, MD level)
Project management qualifications
Project management professional bodies such as APM or PMI certifications"
Centre of Excellence Executive - Part Time,Barclays UK,Relationship Management / Sales,"Interactive communication and diplomacy skills, exhibiting entrepreneurial spirit and a collegiate approach
Ability to embrace a challenge and an evolving/changing environment
Display a constructive approach with the ability to relate to and accommodate a diverse range of personalities
Ability to exert positive influence on colleagues and contacts in order to secure positive outcomes for clients and the business","Excellent verbal and written English language, which is essential in speaking with customers on a daily basis
Having advanced digital knowledge is essential to the role and will be an advantage in making progress
Computer literacy is essential, especially with Microsoft Office packages
Excellent planning and organisational skills to manage daily tasks and communicate with customers"
WCOB Change Manager,COO & Functions,Operations,"Broad experience in Anti-Money Laundering/Know Your Customer industry
Proven project management skills
Excellent writing and presentation skills
Demonstrated ability to manage multiple deadlines across competing priorities&nbsp","s Degree in a business related field
Experience in and thorough knowledge of AML, Sanctions, governance, and regulatory controls framework
Broad experience with Know Your Customer (KYC) and Enhanced Due Diligence processes
Experience in Group Frameworks, Policies and Standards and operational implementation"
Centre of Excellence Executive - Part Time,Barclays UK,Relationship Management / Sales,"Excellent interactive, communication and diplomacy skills an exhibit and entrepreneurial spirit but also have a collegiate approach
The ability to embrace a challenge and an evolving/changing environment
Display a constructive approach with the ability to relate to and accommodate a diverse range of personalities
The ability to exert positive influence on colleagues and contacts in order to secure positive outcomes for clients and the business","Excellent command of English language both verbal and written is essential as you will be speaking with customers on a daily basis
Having advanced digital knowledge will help you know this role and progress
Computer literacy is essential especially with Microsoft Office packages
Excellent planning and organisational skills are key as you will be managing your daily tasks and communication with customers"
Customer Care Colleague,COO & Functions,Relationship Management / Sales,"Solid communication and affinity skills, with the ability to use a range of communication styles to provide a personal approach
Proven ability to use Microsoft Office to a high standard
The ability to educate our customers on a range of products and services available to them
'><strong>Where will you be working?</strong></span>
'>You will be based in one of our Branches which are the heart of Barclays. Branches are changing both in the way they look and the way our colleagues work in them. We aim to have someone on hand to help our customers with their banking needs from the moment they walk in, creating an exquisite customer experience, face to face, while using technology to create the quickest, most seamless experience for them.","Ability to work seamlessly as part of a team but also the ability to work to their own initiative&nbsp
Experience in Retail Banking is desired but not essential as we are looking for people that are passionate about customer service"
Full Stack Developer,COO & Functions,Technology,"Understanding of Agile delivery frameworks and practices (Scrum, Kanban etc) and tools (Rally, Jira, Jenkins etc)
Exposure to developing, designing applications
Knowledge of relational database technology, data integration technology and tools
Hands-on experience as developer using any programming language, preferably Java implementations&nbsp","s Degree in Computer Science, Software Engineering, Business Management or related discipline (An appropriate combination of education and directly related experience may satisfy this requirement)
Able to multi-task effectively
Comfortable with changing priorities and requirements
Able to communicate effectively (verbal and written) with other team members and business representatives"
CB&P Technology 每 Controls Optimization Lead,COO & Functions,Technology,"Experience in financial services, FinTech or relevant experience in data management and technology
Experience with IT audit or risk management in financial services
Professional Risk and Control Certification: CISA, CISM, CRISC, or CISSP
Working knowledge of US Regulations and COBIT Framework","Strong analytical background and ability to translate data into insights
Experience with building and managing cross- functional teams to drive change and facilitate decision making
Proven record of managing client relationships &nbsp
Experience of working across multi-discipline, globally dispersed teams and able to contribute to the strategic direction of the business"
Product Manager Cash Management -Barclays Europe,Barclays International,Product  Management,"Excellent analytical capability, with a problem-solving mind-set and ability to present complex data in a simple and concise way to help decision making
In-depth knowledge of product lifecycle discipline and end-to-end processes
Proven track record of owning and delivering projects and/or initiatives
Experience working with, and influence, key stakeholders from across the business","Experience of product ownership in a financial services organisation and regulatory environment
Working knowledge of the full range of business disciplines e.g., Compliance, Operations, Service, Sales, Marketing, IT, Finance, and Risk"
Application Support,COO & Functions,Technology,"Experience in production support
goal-oriented person
Broad domain knowledge in banking or financial sector, especially Data Support
Sound background and experience in SDLC (both Waterfall and Agile)","Knowledge of ETL Concepts (DataStage, AbInitio etc.) and Open Systems such as (Linux/Unix, Windows)
Monitoring tools such as AppD , ELK, Netcool, Kibana
Experience in Application Hosting Platforms such as Websphere, JBoss, Apache, Tomcat
Firewalls"
Cloud Operations Analyst,COO & Functions,Technology,"Good multitasking skills
Excellent verbal and written communication skills
Live Support Experience
Technical understanding of Cloud Technologies","A good understanding across any of the below products&nbsp
Cloud /Virtualisation: VMware, AWS, Azure, Kubernetes, OpenShift
Middleware: WebSphere MQ and Message Broker SFTP, Sterling Connect Direct, Sterling File Gateway, WebSphere Application Server /JBOSS
Tooling: Wily Monitoring, AppDynamics, Elastic Tech, Sharepoint, ServiceNow"
Service Manager - Networks and Voice,COO & Functions,Technology,"Knowledge of ITIL processes of Service Strategy, Service Design, Service Transition, Service Operation and Continual Service Improvement
Proficient in Microsoft Office and advanced user of Microsoft Excel is essential as is the ability to work with large amounts of data
Solid communication skills to enable building of effective relationships across teams and other cultural regions within Barclays and key stakeholders&nbsp
Evidence of organizational skills and the ability to multi-task whilst ensuring quality and attention to detail under strict deadlines
Having commercial expertise and contractual awareness of Barclays Foundation Services product offerings","ITIL Foundation Certification&nbsp
A good team player that will encourage colleagues to contribute but also can work alone to tight timescales
Working experience within a customer service environment
A positive attitude and willingness to learn"
Data Analytics & Reporting Analyst,COO & Functions,Technology,"Three plus years Proven experience in management of large change programmes&nbsp
Successful track record driving a strategic vision/ thinking including the ability to carry peers and stakeholder on the change journey, flexible and adaptable to drive delivery
Solid leadership and organizational skills. Ability to influence and get things done in a complex matrix organizational structure
Excellent communications skills both written and verbal","Working knowledge of program/project management software such as Navigator is a plus
Exceptional and broad understanding of Infrastructure components is a plus
Past investment banking, payments and trading systems desired&nbsp
Experience of a global working environment across multiple business areas, functions and locations is a plus"
